Expletive,Linus_Count,Greg_Count,Total_Count
a55,1,0,1
anal,57,1,58
arse,3,2,5
ass,24,3,27
asses,2,0,2
balls,10,0,10
bastard,12,0,12
bitch,16,1,17
bitches,1,0,1
bitching,1,0,1
bloody,26,1,27
boob,1,5,6
bugger,7,2,9
bum,3,0,3
butt,50,100,150
chink,1,0,1
cox,0,233,233
crap,795,49,844
damn,951,12,963
dick,9,49,58
dlck,0,1,1
fanny,1,0,1
fuck,10,3,13
fucker,1,0,1
fucks,1,0,1
fuks,0,1,1
god,34,1,35
goddamn,1,0,1
hell,933,20,953
knob,0,31,31
lusting,0,1,1
nazi,2,0,2
nob,0,1,1
piss,11,1,12
pissed,20,0,20
pisses,0,1,1
pissing,4,0,4
poop,1,0,1
retard,2,0,2
screwing,53,1,54
semen,2,0,2
sex,3,0,3
shit,152,4,156
shite,6,0,6
shits,1,0,1
slut,0,2,2
tit,2,0,2
turd,15,1,16
wang,1425,2384,3809
wank,2,0,2
whore,1,0,1
willy,0,130,130
